Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
Natan,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Balogh,Parma,27,5.78,5.72,0,0,0,0,0,0,1,5,0,0
Kristensen T.,Udinese,21,5.57,5.6,1,0,0,0,0,0,0,5,0,0
Ferreira J.,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Altare,Venezia,12,6,5.75,0,0,0,0,0,0,0,2,0,1
Zampano,Venezia,22,5.77,5.89,1,0,0,0,0,0,2,5,0,0
Dawidowicz,Verona,25,5.56,5.38,0,0,0,0,0,0,0,7,1,0
Ghilardi,Verona,24,5.73,5.54,0,0,0,0,0,0,0,7,1,0
Erlic,Bologna,7,6.07,6.07,0,0,0,0,0,0,0,0,0,0
Marianucci,Empoli,13,5.81,5.73,0,0,0,0,0,0,0,0,1,0
Norton-Cuffy,Genoa,10,5.7,5.7,0,0,0,0,0,0,0,0,0,0
Dembele' A.,Torino,9,5.67,5.89,1,0,0,0,0,0,0,0,1,0
Jean,Lecce,18,5.75,5.75,0,0,0,0,0,0,0,0,0,0
Valentini N.,Verona,14,5.61,5.43,0,0,0,0,0,0,0,3,1,0
Nelsson,Roma,4,6,6,0,0,0,0,0,0,0,0,0,0
Toloi,Atalanta,9,5.94,5.89,0,0,0,0,0,0,0,1,0,0
Marcandalli,Venezia,8,5.88,5.75,0,0,0,0,0,0,0,2,0,0
Casale,Bologna,15,5.63,5.53,0,0,0,0,0,0,1,1,0,1
Thiaw,Milan,22,5.75,5.43,0,0,0,0,0,0,0,2,0,3
Juan Jesus,Napoli,13,5.81,5.81,0,0,0,0,0,0,1,2,0,0
Coulibaly W.,Parma,14,5.54,5.36,0,0,0,0,0,0,1,1,1,1
Ebosele,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnani,Verona,14,5.29,5.43,1,0,0,0,0,0,0,2,0,0
Ceccherini,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestra,Atalanta,3,6,6,0,0,0,0,0,0,0,0,0,0
Abankwah,Udinese,2,6.25,6,0,0,0,0,0,0,0,1,0,0
Pedersen,Torino,23,5.61,5.54,0,0,0,0,0,0,0,3,0,0
Hummels,Roma,13,6.12,5.92,0,0,0,0,0,0,0,1,0,1
Ahanor,Genoa,6,6,6,0,0,0,0,0,0,0,0,0,0
Smolcic I.,Como,8,5.81,5.75,0,0,0,0,0,0,0,2,0,0
Godfrey,Atalanta,1,6,6,0,0,0,0,0,0,0,0,0,0
Posch,Atalanta,13,5.81,5.77,0,0,0,0,0,0,0,1,0,0
Wieteska,Cagliari,5,5.6,5.5,0,0,0,0,0,0,0,1,0,0
Hatzidiakos,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Azzi,Cagliari,6,6,5.83,0,0,0,0,0,0,0,2,0,0
Barba,Como,6,5.42,5.42,0,0,0,0,0,0,0,0,0,0
Matturro,Genoa,12,5.62,5.54,0,0,0,0,0,0,0,2,0,0
Cabal,Juventus,6,6.33,6.25,0,0,0,0,0,0,0,1,0,0
Bettella,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldirola,Monza,14,5.75,5.61,0,0,0,0,0,0,0,4,0,0
Marin R.,Napoli,3,6,5.83,0,0,0,0,0,0,0,1,0,0
Circati,Parma,6,5.83,5.75,0,0,0,0,0,0,0,1,0,0
Kumbulla,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Dahl,Roma,2,6,6,0,0,0,0,0,0,0,0,0,0
Giannetti L.,Udinese,13,5.69,5.46,1,0,0,0,0,0,0,4,0,2
Svoboda,Venezia,16,5.69,5.84,1,0,0,0,0,0,0,1,0,0
Sverko,Venezia,14,5.75,5.86,1,0,0,0,0,0,0,3,0,0
Candela,Venezia,14,5.46,5.25,0,0,0,0,0,0,0,2,0,1
Frese,Verona,7,5.79,5.79,0,0,0,0,0,0,0,0,0,0
Esteves G.,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
Sosa B.,Torino,18,5.72,5.72,0,0,0,0,0,0,0,0,0,0
Sergi Roberto,Como,12,6,5.92,0,0,0,0,0,0,1,4,0,0
Palacios T.,Monza,6,5.25,5.08,0,0,0,0,0,0,0,2,0,0
Sambia,Empoli,7,5.86,5.86,0,0,0,0,0,0,0,0,0,0
Bartesaghi,Milan,3,5.33,5,0,0,0,0,0,0,0,0,1,0
Hermoso,Roma,4,5.12,4.88,0,0,0,0,0,0,0,0,1,0
Lovik,Parma,4,5.75,5.75,0,0,0,0,0,0,0,0,0,0
Otoa,Genoa,3,5.17,4.67,0,0,0,0,0,0,0,1,1,0
Lekovic,Monza,6,4.75,4.42,0,0,0,0,0,0,0,0,0,1
Tiago Gabriel,Lecce,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0
Brorsson,Monza,4,5.38,5.38,0,0,0,0,0,0,0,0,0,0
Scalvini,Atalanta,4,5.5,5.25,0,0,0,0,0,0,0,2,0,0
Ilic M.,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Corazza,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Veroli,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Iovine,Como,7,5.64,5.5,0,0,0,0,0,0,0,2,0,0
Kovacik,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Sala M.,Lecce,6,5.67,5.5,0,0,0,0,0,0,0,3,0,0
Cassandro,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucchesi,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayode,Fiorentina,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
Djalo',Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Patric,Lazio,8,5.62,5.88,1,0,0,0,0,0,0,2,0,0
Terracciano F.,Milan,7,5.71,5.57,0,0,0,0,0,0,0,3,0,0
D'Ambrosio,Monza,17,5.59,5.47,0,0,0,0,0,0,0,2,1,0
Mario Rui,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazzocchi,Napoli,10,5.7,5.65,0,0,0,0,0,0,0,2,0,0
Osorio,Parma,3,5.17,5.17,0,0,0,0,0,0,0,0,0,0
Di Chiara,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangare' B.,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
Sazonov,Empoli,1,5,5,0,0,0,0,0,0,0,0,0,0
Schuurs,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebosse,Udinese,2,5.5,5.25,0,0,0,0,0,0,0,1,0,0
Okou,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Faraoni,Verona,6,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Sagrado,Venezia,3,5.5,5.33,0,0,0,0,0,0,0,1,0,0
Rouhi,Juventus,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0
Pelmard,Lecce,2,5.75,5.5,0,0,0,0,0,0,0,1,0,0
Dellavalle,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulhamid,Roma,4,5.75,6,0,0,0,0,0,0,1,0,0,0
Carboni F.,Venezia,5,5.9,5.7,0,0,0,0,0,0,0,2,0,0
Moreno M.,Fiorentina,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Bonifazi,Lecce,2,5.25,5.25,0,0,0,0,0,0,0,0,0,0
Daniliuc,Verona,14,5.39,5.39,0,0,0,0,0,0,0,0,0,0
Toure' I.s.,Udinese,11,5.59,5.41,1,0,0,0,0,0,0,2,2,1
Florenzi,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Como,1,5,4.5,0,0,0,0,0,0,0,1,0,0
Oyegoke,Verona,3,5.83,5.67,0,0,0,0,0,0,0,1,0,0
Provstgaard,Lazio,1,6.5,6.5,0,0,0,0,0,0,0,1,0,0
Slotsager,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah-Eddine,Roma,2,5.5,6,0,0,0,0,0,0,1,0,0,0
Scott,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Luan Patrick,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Orsolini,Bologna,29,6.53,8.19,15,0,0,3,3,0,4,2,0,0
McTominay,Napoli,34,6.56,7.66,12,0,0,0,0,0,3,3,0,0
Pulisic,Milan,34,6.38,7.49,11,0,0,4,3,1,8,1,0,0
Ndoye,Bologna,29,6.47,7.36,8,0,0,2,2,0,4,4,0,0
Reijnders,Milan,37,6.31,7.18,10,0,0,0,0,0,4,2,1,0
Zaccagni,Lazio,34,6.28,7.01,8,0,0,2,2,0,6,10,0,0
Saelemaekers,Roma,22,6.39,7.36,7,0,0,0,0,0,3,5,0,0
Zambo Anguissa,Napoli,35,6.41,6.97,6,0,0,0,0,0,4,5,0,0
Paz N.,Como,33,6.38,6.95,6,0,0,1,0,1,7,6,0,0
Strefezza,Como,37,6.27,6.8,6,0,0,0,0,0,4,5,0,0
Calhanoglu,Inter,28,6.34,6.89,5,0,0,4,3,1,6,5,0,0
Barella,Inter,33,6.26,6.65,3,0,0,0,0,0,6,4,0,0
Thuram K.,Juventus,33,6.3,6.74,4,0,0,0,0,0,5,5,0,0
Weah,Juventus,26,6.13,6.69,5,0,0,0,0,0,1,4,0,0
Mandragora,Fiorentina,27,6.19,6.67,4,0,0,1,1,0,4,7,0,0
Nicolussi Caviglia,Venezia,35,6.2,6.53,4,0,0,0,0,0,3,5,1,0
Vlasic,Torino,30,6.07,6.67,5,0,0,2,2,0,3,0,0,0
Neres,Napoli,25,6.32,6.72,2,0,0,0,0,0,5,2,0,0
De Roon,Atalanta,36,6.15,6.53,4,0,0,0,0,0,4,5,0,0
Ederson D.s.,Atalanta,36,6.17,6.49,4,0,0,0,0,0,2,3,1,0
Fazzini,Empoli,20,6.42,6.98,4,0,0,0,0,0,1,2,1,0
Adli,Fiorentina,22,6.2,6.95,4,0,0,0,0,0,6,1,1,0
Frattesi,Inter,23,6.02,6.72,5,0,0,0,0,0,1,1,0,0
Politano,Napoli,37,6.11,6.42,3,0,0,0,0,0,4,3,0,0
Man,Parma,32,5.95,6.45,4,0,0,0,0,0,4,0,0,0
Cristante,Roma,28,6.2,6.59,4,0,0,0,0,0,3,8,0,0
El Shaarawy,Roma,21,6.19,6.71,3,0,0,0,0,0,3,2,0,0
Oristanio,Venezia,37,6.05,6.34,3,0,0,0,0,0,3,3,0,0
Brescianini,Atalanta,23,6.13,6.72,4,0,0,0,0,0,2,1,0,0
Kone' M.,Roma,33,6.26,6.38,2,0,0,0,0,0,1,6,0,0
Diao,Como,14,6.5,7.93,7,0,0,0,0,0,0,2,0,0
Koopmeiners,Juventus,28,5.98,6.39,3,0,0,0,0,0,4,3,0,0
Da Cunha,Como,35,6.1,6.36,3,0,0,0,0,0,2,4,0,0
Conceicao,Juventus,25,6.12,6.5,3,0,0,0,0,0,3,3,1,0
Freuler,Bologna,37,6.19,6.22,1,0,0,0,0,0,1,6,0,0
Marin,Cagliari,27,6.07,6.41,3,0,0,2,2,0,2,4,0,0
Locatelli,Juventus,35,6.19,6.26,2,0,0,1,1,0,1,9,0,0
Maldini,Atalanta,27,6.02,6.59,6,0,0,0,0,0,0,5,0,0
Hernani,Parma,25,6.08,6.42,3,0,0,3,3,0,3,7,0,0
Sohm,Parma,37,6.03,6.26,4,0,0,0,0,0,0,7,0,0
Ellertsson,Venezia,35,6.01,6.21,2,0,0,0,0,0,2,2,0,0
Anjorin,Empoli,22,6.3,6.64,2,0,0,0,0,0,3,3,0,0
Caqueret,Como,16,6.34,6.78,2,0,0,0,0,0,3,4,0,0
Elmas,Torino,13,6.12,7.04,4,0,0,0,0,0,0,0,0,0
Fabbian,Bologna,22,6.09,6.48,3,0,0,0,0,0,0,2,0,0
Ferguson,Bologna,14,6.11,6.39,1,0,0,1,1,0,1,0,0,0
Mkhitaryan,Inter,32,6.06,6.25,1,0,0,0,0,0,5,4,0,0
McKennie,Juventus,31,5.94,6.18,2,0,0,0,0,0,3,3,0,0
Cataldi,Fiorentina,24,6.04,6.4,3,0,0,0,0,0,0,1,0,0
Dele-Bashiru,Lazio,17,6.06,6.65,3,0,0,0,0,0,1,0,0,0
Chukwueze,Milan,16,6.09,6.78,3,0,0,0,0,0,2,0,0,0
Gaetano,Cagliari,27,6.04,6.41,2,0,0,0,0,0,4,0,0,0
Paredes,Roma,20,6.28,6.68,3,0,0,2,2,0,1,4,0,0
Ekkelenkamp,Udinese,33,5.97,6.27,3,0,0,0,0,0,2,2,0,0
Fofana Y.,Milan,34,6.03,6.22,1,0,0,0,0,0,6,5,0,0
Ondrejka,Parma,10,6.35,7.85,5,0,0,0,0,0,0,0,0,0
Pasalic,Atalanta,33,5.91,6.14,3,0,0,1,0,1,2,1,0,0
Colpani,Fiorentina,24,5.81,6.04,2,0,0,0,0,0,0,1,0,0
Miretti,Genoa,25,5.98,6.42,3,0,0,0,0,0,3,2,0,0
Vecino,Lazio,18,6.14,6.44,2,0,0,0,0,0,3,7,0,0
Guendouzi,Lazio,37,6.04,6.07,1,0,0,0,0,0,2,8,0,0
Pellegrini Lo.,Roma,25,5.68,5.88,2,0,0,1,1,0,1,4,0,0
Gineitis,Torino,28,5.95,6.21,3,0,0,0,0,0,1,5,0,0
Samardzic,Atalanta,28,6.09,6.25,2,0,0,0,0,0,0,3,0,0
Andersen M.K.,Venezia,13,5.96,6.23,1,0,0,0,0,0,1,1,0,0
Zerbin,Venezia,18,6,6.11,1,0,0,0,0,0,1,4,0,0
Casadei,Torino,15,6.03,6.27,1,0,0,0,0,0,1,1,0,0
Ikone',Como,23,5.96,6.2,2,0,0,0,0,0,0,1,0,0
Frendrup,Genoa,35,6,6.04,2,0,0,0,0,0,0,5,0,1
Asllani,Inter,16,6.16,6.56,2,0,0,2,2,0,2,3,0,0
Douglas Luiz,Juventus,15,5.87,5.8,0,0,0,0,0,0,0,2,0,0
Tete Morente,Lecce,30,5.87,6.15,3,0,0,0,0,0,2,5,0,0
Pobega,Bologna,20,6.05,6.25,2,0,0,0,0,0,2,4,2,0
Bernabe',Parma,19,6.29,6.47,1,0,0,0,0,0,1,1,0,0
Lovric,Udinese,35,5.96,6.11,2,0,0,0,0,0,2,5,0,0
Coulibaly L.,Lecce,37,5.96,6,1,0,0,0,0,0,0,3,0,0
Sulemana I.,Atalanta,6,6.17,7.08,2,0,0,0,0,0,0,1,0,0
Adopo,Cagliari,34,5.87,5.91,1,0,0,0,0,0,1,3,1,0
Viola,Cagliari,25,5.94,6.3,3,0,0,0,0,0,1,2,0,0
Zielinski,Inter,20,5.98,6.32,2,0,0,2,2,0,1,0,0,0
Rovella,Lazio,33,6.11,6,0,0,0,0,0,0,3,13,0,0
Loftus-Cheek,Milan,18,5.86,5.78,0,0,0,0,0,0,0,3,0,0
Lobotka,Napoli,31,6.05,6.03,0,0,0,0,0,0,1,3,0,0
Ricci S.,Torino,34,6.06,6.03,1,0,0,0,0,0,1,8,1,0
Busio,Venezia,31,5.9,6.03,2,0,0,0,0,0,0,4,0,0
Lazovic,Verona,24,5.94,6.31,2,0,0,1,1,0,3,0,0,0
Fadera,Como,24,6,6.19,1,0,0,0,0,0,3,1,1,0
Perez K.,Venezia,16,6.03,6.16,1,0,0,0,0,0,1,4,0,0
Deiola,Cagliari,25,5.98,6.14,2,0,0,0,0,0,1,6,0,0
Mazzitelli,Como,8,6,6.44,1,0,0,0,0,0,1,1,0,0
Henderson L.,Empoli,34,5.91,5.88,0,0,0,0,0,0,4,10,0,0
Gyasi,Empoli,37,5.84,5.91,2,0,0,0,0,0,1,5,0,1
Bianco,Monza,35,5.91,5.87,1,0,0,0,0,0,0,9,0,0
Fagioli,Fiorentina,24,5.92,6.04,1,0,0,0,0,0,2,4,0,0
Duda,Verona,28,5.98,5.95,1,0,0,0,0,0,3,10,2,0
Pisilli,Roma,24,5.98,6.12,2,0,0,0,0,0,1,7,0,0
Amrabat,Fiorentina,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0
Helgason,Lecce,17,6.03,6.26,0,0,0,0,0,0,4,0,0,0
Yeboah J.,Venezia,28,5.91,5.98,1,0,0,0,0,0,2,6,0,0
Gilmour,Napoli,17,6,6.06,0,0,0,0,0,0,1,0,0,0
Masini,Genoa,18,6.06,6.17,1,0,0,0,0,0,0,2,0,0
Zaniolo,Fiorentina,18,6.03,6.22,2,0,0,0,0,0,1,6,1,0
Sottil,Milan,21,5.95,6.12,1,0,0,0,0,0,1,1,0,0
Messias,Genoa,16,6,6.03,1,0,0,1,0,1,1,1,0,0
Ramadani,Lecce,27,5.85,5.94,1,0,0,0,0,0,1,3,0,0
Ciurria,Monza,17,5.79,6,1,0,0,0,0,0,1,1,0,0
Bove,Fiorentina,12,6.29,6.58,1,0,0,0,0,0,2,3,0,0
Zalewski,Inter,19,6.03,6.21,1,0,0,0,0,0,2,3,0,0
Baldanzi,Roma,21,6,6.14,1,0,0,0,0,0,1,2,0,0
Doumbia I.,Venezia,19,5.95,5.95,0,0,0,0,0,0,0,0,0,0
Hainaut,Parma,22,5.86,6.07,2,0,0,0,0,0,0,3,0,0
Berisha M.,Lecce,14,6.07,5.96,0,0,0,0,0,0,1,5,0,0
Perrone,Como,25,5.94,5.94,0,0,0,0,0,0,3,6,0,0
Atta,Udinese,23,6,5.89,0,0,0,0,0,0,0,5,0,0
Cornet,Genoa,6,6.08,7.25,2,0,0,0,0,0,1,0,0,0
Veiga R.,Juventus,13,6.08,6,0,0,0,0,0,0,0,2,0,0
Karlsson,Lecce,17,5.82,6.09,2,0,0,1,1,0,0,3,0,0
Makoumbou,Cagliari,32,5.73,5.77,0,0,0,0,0,0,3,2,1,0
Grassi,Empoli,28,5.91,5.84,1,0,0,0,0,0,0,8,1,0
Badelj,Genoa,22,5.98,6.05,1,0,0,0,0,0,0,3,0,0
Malinovskyi,Genoa,9,6.33,6.44,0,0,0,0,0,0,2,2,0,0
Castrovilli,Monza,14,5.89,5.89,0,0,0,0,0,0,0,0,0,0
Payero,Udinese,25,5.9,5.96,1,0,0,0,0,0,1,5,0,0
Tessmann,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Serdar,Verona,21,5.79,6.02,2,0,0,0,0,0,1,2,1,0
Suslov,Verona,31,5.84,5.76,0,0,0,0,0,0,1,5,1,0
Karlstrom,Udinese,37,5.85,5.78,0,0,0,0,0,0,2,9,0,0
Richardson,Fiorentina,25,5.78,5.84,1,0,0,0,0,0,1,5,0,0
Rui Modesto,Udinese,13,5.96,6.04,0,0,0,0,0,0,1,1,0,0
Felici,Cagliari,18,5.83,5.97,0,0,0,0,0,0,3,1,0,0
Barak,Fiorentina,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0
Pierret,Lecce,30,5.75,5.72,0,0,0,0,0,0,0,2,0,0
Zarraga,Udinese,18,5.78,5.94,1,0,0,0,0,0,0,0,0,0
Kastanos,Verona,22,5.89,5.95,1,0,0,0,0,0,0,4,0,0
Engelhardt,Como,16,5.81,5.97,1,0,0,0,0,0,1,3,0,0
Sensi,Monza,7,5.93,6.36,1,0,0,1,1,0,0,0,0,0
Iling Junior,Bologna,4,6,6.75,1,0,0,0,0,0,0,0,0,0
Keita M.,Parma,28,5.73,5.66,0,0,0,0,0,0,1,4,1,0
Venturino,Genoa,3,6.83,8.83,2,0,0,0,0,0,0,0,0,0
Bernede,Verona,12,5.79,5.96,1,0,0,0,0,0,0,2,0,0
Moro N.,Bologna,16,6,6.03,0,0,0,0,0,0,1,1,0,0
Urbanski,Monza,12,5.88,6,1,0,0,0,0,0,0,3,0,0
Akpa Akpro,Monza,14,5.57,5.43,0,0,0,0,0,0,0,4,0,0
Kaba,Lecce,12,5.88,5.83,0,0,0,0,0,0,0,1,0,0
Bennacer,Milan,6,5.83,5.67,0,0,0,0,0,0,0,2,0,0
Musah,Milan,26,5.69,5.67,0,0,0,0,0,0,2,5,0,0
Folorunsho,Fiorentina,13,5.96,5.77,0,0,0,0,0,0,0,5,0,0
Linetty,Torino,22,5.77,5.77,1,0,0,0,0,0,0,6,0,0
Ilic,Torino,16,5.91,5.97,1,0,0,0,0,0,0,4,0,0
Harroui,Verona,10,5.95,6.4,1,0,0,0,0,0,2,1,0,0
Billing,Napoli,6,5.92,6.33,1,0,0,0,0,0,0,1,0,0
Onana J.,Genoa,7,5.86,5.79,0,0,0,0,0,0,0,1,0,0
Prati,Cagliari,10,5.85,5.8,0,0,0,0,0,0,0,1,0,0
Thorsby,Genoa,27,5.78,5.65,0,0,0,0,0,0,1,5,0,1
Kostic,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Tchaouna,Lazio,20,5.72,5.78,1,0,0,0,0,0,0,2,1,0
Maleh,Empoli,22,5.82,5.75,0,0,0,0,0,0,1,3,1,0
Zeroli,Monza,7,5.71,5.71,0,0,0,0,0,0,0,0,0,0
Bondo,Milan,22,5.91,5.77,0,0,0,0,0,0,0,4,1,0
Cajuste,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Camara D.,Parma,13,6.04,5.92,0,0,0,0,0,0,0,3,0,0
Le Fee,Roma,5,6,5.9,0,0,0,0,0,0,0,1,0,0
Tameze,Torino,15,5.9,5.83,0,0,0,0,0,0,0,3,0,0
Belahyane,Lazio,26,5.77,5.69,0,0,0,0,0,0,2,4,2,0
Martins K.,Monza,6,5.92,6,0,0,0,0,0,0,1,1,0,0
Ndour,Fiorentina,7,5.71,5.64,0,0,0,0,0,0,0,1,0,0
Gourna-Douath,Roma,5,5.9,5.7,0,0,0,0,0,0,0,2,0,0
Aebischer,Bologna,13,5.77,5.69,0,0,0,0,0,0,0,2,0,0
Braunoder,Como,4,5.12,4.75,0,0,0,0,0,0,0,1,1,0
Verdi,Como,4,5.75,5.62,0,0,0,0,0,0,0,1,0,0
Haas,Empoli,6,6.08,6,0,0,0,0,0,0,0,1,0,0
Bohinen,Genoa,2,5,5,0,0,0,0,0,0,0,0,0,0
Oudin,Lecce,6,5.58,5.5,0,0,0,0,0,0,0,1,0,0
Gagliardini,Monza,6,5.67,5.58,0,0,0,0,0,0,0,1,0,0
Pessina,Monza,11,6.09,6,0,0,0,0,0,0,0,2,0,0
Machin,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
Forson O.,Monza,6,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Estevez,Parma,12,5.79,5.71,0,0,0,0,0,0,0,2,0,0
Duncan,Venezia,14,5.86,5.79,0,0,0,0,0,0,0,2,0,0
Bjarkason,Venezia,4,5.88,5.75,0,0,0,0,0,0,0,2,0,0
Dani Silva,Verona,6,5.33,5.25,0,0,0,0,0,0,0,1,0,0
Mitrovic S.,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Zurkowski,Empoli,4,5.88,5.88,0,0,0,0,0,0,0,0,0,0
Buchanan T.,Inter,3,5.83,5.83,0,0,0,0,0,0,0,0,0,0
Kasa,Genoa,3,6,6,0,0,0,0,0,0,0,0,0,0
Pereiro,Genoa,1,6,6,0,0,0,0,0,0,0,0,0,0
Condè,Venezia,3,5.83,5.67,0,0,0,0,0,0,0,2,0,0
Niasse,Verona,11,5.5,5.32,0,0,0,0,0,0,0,4,0,0
Kovalenko,Empoli,3,6,6,0,0,0,0,0,0,0,0,0,0
Perciun,Torino,2,6,6,0,0,0,0,0,0,0,0,0,0
Cacciamani,Torino,1,6,6,0,0,0,0,0,0,0,0,0,0
El Azzouzi,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Jankto,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
Abildgaard,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Baselli,Como,1,6,6,0,0,0,0,0,0,0,0,0,0
Bellemo,Como,0,0,0,0,0,0,0,0,0,0,0,0,0
Kone B.,Como,1,6,6,0,0,0,0,0,0,0,1,0,0
Belardinelli,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Degli Innocenti,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafia,Lecce,18,5.78,5.67,0,0,0,0,0,0,0,4,0,0
Listkowski,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Marchwinski,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0
Valoti,Monza,1,6,5.5,0,0,0,0,0,0,0,1,0,0
Vignato S.,Monza,12,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Cyprien,Parma,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0
Jajalo,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Crnigoj,Venezia,5,5.9,5.9,0,0,0,0,0,0,0,0,0,0
Lella,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Adzic,Juventus,1,6,6,0,0,0,0,0,0,0,0,0,0
Liberali,Milan,1,6,6,0,0,0,0,0,0,0,0,0,0
El Haddad,Venezia,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassa,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
Byar,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisse' A.,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
Alidou,Verona,2,5.5,5.5,0,0,0,0,0,0,0,0,0,0
Manzoni,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
Kouda,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
Vos,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasa,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Melo,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
Melegoni,Genoa,3,6,6,0,0,0,0,0,0,0,0,0,0
Pafundi,Udinese,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0
Ibrahimovic A.,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
Alli,Como,1,4.5,3.5,0,0,0,0,0,0,0,0,1,0
Cuenca H.,Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
Retegui,Atalanta,36,6.5,8.67,25,0,0,5,4,1,7,2,0,0
Kean,Fiorentina,32,6.42,8.08,19,0,0,2,1,1,2,6,0,0
Lookman,Atalanta,31,6.42,7.94,15,0,0,1,1,0,4,4,0,0
Osimhen,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Thuram,Inter,32,6.33,7.75,14,0,0,0,0,0,4,1,0,0
Lukaku,Napoli,36,6.29,7.57,14,0,0,4,3,1,9,4,0,0
Martinez L.,Inter,31,6.19,7.44,12,0,0,0,0,0,3,1,0,0
Kvaratskhelia,Napoli,17,6.21,7.24,5,0,0,1,1,0,3,1,0,0
Pedro,Lazio,28,6.21,7.27,10,0,0,2,2,0,1,3,0,0
Gimenez,Milan,12,5.88,6.75,5,0,0,1,0,1,1,3,1,0
Vlahovic,Juventus,25,6.12,7.38,10,0,0,4,4,0,3,3,0,0
Dovbyk,Roma,32,6,7.19,12,0,0,2,2,0,2,0,0,0
Yildiz,Juventus,34,6.34,7.01,7,0,0,0,0,0,4,2,1,0
Castellanos,Lazio,29,6.29,7.17,10,0,0,3,2,1,3,7,1,0
